slug	name	package_group	attack_category	packages	description	url
slimtoolkit	slimtoolkit	utils		slimtoolkit,slim-sensor,slimtoolkit	Optimization of your containers This package contains Slim(toolkit). It was called DockerSlim, and it is now just Slim (SlimToolkit). It is a tool for developers with a number of different commands (build, xray, lint, debug and others) to simplify and optimize your developer experience with containers. It makes your containers better, smaller and more secure	https://www.kali.org/tools/slimtoolkit/
sliver	sliver	utils		sliver,sliver-client,sliver-server	Implant framework This package contains a general purpose cross-platform implant framework that supports C2 over Mutual-TLS, HTTP(S), and DNS. Implants are dynamically compiled with unique X.509 certificates signed by a per-instance certificate authority generated when you first run the binary.	https://www.kali.org/tools/sliver/
slowhttptest	slowhttptest	vulnerability	影响	slowhttptest,slowhttptest	Application layer Denial of Service attacks simulation tool SlowHTTPTest is a highly configurable tool that simulates some application layer Denial of Service attacks. It implements most common low-bandwidth application layer Denial of Service attacks, such as Slowloris	https://www.kali.org/tools/slowhttptest/
smbmap	smbmap	information-gathering	防御规避	smbmap,smbmap	Handy SMB enumeration tool SMBMap allows users to enumerate samba share drives across an entire domain. List share drives, drive permissions, share contents, upload/download functionality, file name auto-download pattern matching, and even execute remote commands. This tool was designed with pen testing in mind, and is intended to simplify searching for potentially sensitive data across large	https://www.kali.org/tools/smbmap/
smtp-user-enum	smtp-user-enum	information-gathering	发现	smtp-user-enum,smtp-user-enum	Username guessing tool for the SMTP service Username guessing tool primarily for use against the default Solaris SMTP service. Can use either EXPN, VRFY or RCPT TO.	https://www.kali.org/tools/smtp-user-enum/
sn0int	sn0int	utils		sn0int,sn0int	Semi-automatic OSINT framework and package manager sn0int is a semi-automatic OSINT framework and package manager. It was built for IT security professionals and bug hunters to gather intelligence about a given target or about yourself. sn0int is enumerating attack surface by semi-automatically processing public information and mapping the results in a unified format for followup investigations.	https://www.kali.org/tools/sn0int/
snaffler-ng	snaffler-ng	utils		snaffler-ng,snaffler	SMB share credential and sensitive data scanner Impacket port of Snaffler, a post-exploitation tool that discovers readable SMB shares, walks directory trees, and identifies credentials and sensitive data on Windows file systems. Features include NTLM and Kerberos authentication, DFS namespace discovery, regex-based file and content classification with 103 built-in rules, archive	https://www.kali.org/tools/snaffler-ng/
sniffjoke	sniffjoke	sniffing-spoofing	防御规避	sniffjoke,sj-commit-results,sj-iptcpopt-probe,sniffjoke,sniffjoke-autotest,sniffjokectl	Transparent TCP connection scrambler SniffJoke is an application for Linux that handle transparently your TCP connection, delaying, modifyng and inject fake packets inside your transmission, make them almost impossible to be correctly readed by a passive wiretapping technology (IDS or sniffer).	https://www.kali.org/tools/sniffjoke/
snmpcheck	snmpcheck	information-gathering	发现	snmpcheck,snmp-check	SNMP service enumeration tool Like to snmpwalk, snmpcheck allows you to enumerate the SNMP devices and places the output in a very human readable friendly format. It could be useful for penetration testing or systems monitoring.	https://www.kali.org/tools/snmpcheck/
snmpenum	snmpenum	utils		snmpenum,snmpenum	SNMP tabledump This package contains a simple Perl script to enumerate information on Machines that are running SNMP.	https://www.kali.org/tools/snmpenum/
snort	snort	utils		snort,appid_detector_builder.sh,show_flows,snort,snort2lua,u2boat,u2spewfoo,snort-common,snort-common-libraries,snort-doc,snort-rules-default	Flexible Network Intrusion Detection System Snort is a libpcap-based packet sniffer/logger which can be used as a lightweight network intrusion detection system. It features rules-based logging and can perform content searching/matching in addition to detecting a variety of other attacks and probes, such as buffer overflows, stealth port scans, CGI attacks, SMB probes, and much more.	https://www.kali.org/tools/snort/
snowdrop	snowdrop	utils		snowdrop,sd-c,sd-eng,sd-engf	Plain text watermarking and watermark recovery Snowdrop provides reliable, difficult to remove steganographic watermarking of text documents (internal memos, draft research papers, advisories and other writing) and C sources (limited distribution software, licensed software, or freely available code) so that: (1) leaks can be identified if the data goes public.	https://www.kali.org/tools/snowdrop/
socat	socat	web	命令与控制	socat,filan,procan,socat,socat-broker.sh,socat-chain.sh,socat-mux.sh,socat1	Multipurpose relay for bidirectional data transfer Socat (for SOcket CAT) establishes two bidirectional byte streams and transfers data between them. Data channels may be files, pipes, devices (terminal or modem, etc.), or sockets (Unix, IPv4, IPv6, raw, UDP, TCP, SSL). It provides forking, logging and tracing, different modes for interprocess communication and many more options.	https://www.kali.org/tools/socat/
sparrow-wifi	sparrow-wifi	utils	侦察	sparrow-wifi,sparrow-wifi,sparrowwifiagent	Graphical Wi-Fi Analyzer for Linux This package contains a graphical Wi-Fi analyzer for Linux. It provides a more comprehensive GUI-based replacement for tools like inSSIDer and linssid that runs specifically on Linux. In its most comprehensive use cases, sparrow-wifi integrates Wi-Fi, software-defined radio (hackrf), advanced bluetooth tools (traditional and Ubertooth), traditional GPS (via gpsd), and drone/rover GPS	https://www.kali.org/tools/sparrow-wifi/
spiderfoot	spiderfoot	identify	侦察	spiderfoot,spiderfoot,spiderfoot-cli	OSINT collection and reconnaissance tool This package contains an open source intelligence (OSINT) automation tool. Its goal is to automate the process of gathering intelligence about a given target, which may be an IP address, domain name, hostname, network subnet, ASN, e-mail address or person’s name. SpiderFoot can be used offensively, i.e. as part of a black-box penetration	https://www.kali.org/tools/spiderfoot/
spike	spike	vulnerability	资源开发	spike,citrix,closed_source_web_server_fuzz,dceoversmb,dltest,do_post,generic_chunked,generic_listen_tcp,generic_send_tcp,generic_send_udp,generic_web_server_fuzz,generic_web_server_fuzz2,gopherd,halflife,line_send_tcp,msrpcfuzz,msrpcfuzz_udp,ntlm2,ntlm_brute,pmspike,post_fuzz,post_spike,quake,quakeserver,sendmsrpc,ss_spike,statd_spike,sunrpcfuzz,webfuzz,x11_spike	Network protocol fuzzer When you need to analyze a new network protocol for buffer overflows or similar weaknesses, the SPIKE is the tool of choice for professionals. While it requires a strong knowledge of C to use, it produces results second to none in the field.	https://www.kali.org/tools/spike/
spire	spire	utils		spire,spire-agent,spire-server	Toolchain of APIs for establishing trust between software systems This package contains SPIRE (the SPIFFE Runtime Environment). It is a toolchain of APIs for establishing trust between software systems across a wide variety of hosting platforms. SPIRE exposes the SPIFFE Workload API, which can attest running software systems and issue SPIFFE IDs and SVIDs to them. This in turn allows two workloads to establish trust between each other,	https://www.kali.org/tools/spire/
sploitscan	sploitscan	utils		sploitscan,sploitscan	Search for CVE information SploitScan is an efficient and easy-to-use command-line tool designed to consult CVE (Common Vulnerabilities and Exposures). Extremely important for professionals, as it allows them to implement measures that prevent the exploitation of discovered vulnerabilities. Tool is capable of exporting in a single run results for JSON and CSV	https://www.kali.org/tools/sploitscan/
spooftooph	spooftooph	wireless	侦察	spooftooph,spooftooph	Automates spoofing or cloning Bluetooth devices Spooftooph is designed to automate spoofing or cloning Bluetooth device Name, Class, and Address. Cloning this information effectively allows Bluetooth device to hide in plain site. Bluetooth scanning software will only list one of the devices if more than one device in range shares the	https://www.kali.org/tools/spooftooph/
spray	spray	utils		spray,spray	Password Spraying tool for Active Directory Credentials This package contains a Password Spraying tool for Active Directory Credentials. The script will password spray a target over a period of time. It requires password policy as input so accounts are not locked out. The package also provides a series of hand crafted password files for multiple languages. These have been crafted from the most common active	https://www.kali.org/tools/spray/
sprayhound	sprayhound	utils		sprayhound,sprayhound	Password spraying tool and Bloodhound integration SprayHound is a Python library to safely password spray in Active Directory, which sets pwned users as owned in Bloodhound and detects paths to Domain Admins.	https://www.kali.org/tools/sprayhound/
sprayingtoolkit	sprayingtoolkit	utils		sprayingtoolkit,atomizer,spindrift,sprayingtoolkit	Scripts to make password spraying attacks against Lync/S4B, OWA & O365 A set of Python scripts/utilities that tries to make password spraying attacks against Lync/S4B & OWA a lot quicker, less painful and more efficient.	https://www.kali.org/tools/sprayingtoolkit/
spraykatz	spraykatz	utils		spraykatz,spraykatz	Tool able to retrieve credentials on Windows machines This package contains a tool without any pretention able to retrieve credentials on Windows machines and large Active Directory environments. It simply tries to procdump machines and parse dumps remotely in order to avoid detections by antivirus software as much as possible.	https://www.kali.org/tools/spraykatz/
sqldict	sqldict	web	凭据访问	sqldict,sqldict	Dictionary attack tool for SQL Server SQLdict is a dictionary attack tool for SQL Server.	https://www.kali.org/tools/sqldict/
sqlitebrowser	sqlitebrowser	web	发现	sqlitebrowser,sqlitebrowser	GUI editor for SQLite databases SQLite Database Browser is a visual tool used to create, design and edit database files compatible with SQLite. Its interface is based on QT, and is meant to be used for users and developers that want to create databases, edit and search data using a familiar spreadsheet-like interface, without the need to learn complicated SQL commands.	https://www.kali.org/tools/sqlitebrowser/
sqlmap	sqlmap	information-gathering	初始访问	sqlmap,sqlmap,sqlmapapi	Automatic SQL injection tool sqlmap goal is to detect and take advantage of SQL injection vulnerabilities in web applications. Once it detects one or more SQL injections on the target host, the user can choose among a variety of options to perform an extensive back-end database management system fingerprint, retrieve DBMS session user and database, enumerate users,	https://www.kali.org/tools/sqlmap/
sqlmc	sqlmc	utils		sqlmc,sqlmc	Check all urls of a domain for SQL injections SQLMC (SQL Injection Massive Checker) is a tool designed to scan a domain for SQL injection vulnerabilities. It crawls the given URL up to a specified depth, checks each link for SQL injection vulnerabilities, and reports its findings.	https://www.kali.org/tools/sqlmc/
sqlninja	sqlninja	web	初始访问	sqlninja,sqlninja	SQL server injection and takeover tool Fancy going from a SQL Injection on Microsoft SQL Server to a full GUI access on the DB? Take a few new SQL Injection tricks, add a couple of remote shots in the registry to disable Data Execution Prevention, mix with a little Perl that automatically generates a debug script, put all this	https://www.kali.org/tools/sqlninja/
sqlsus	sqlsus	web	初始访问	sqlsus,sqlsus	MySQL injection tool sqlsus is an open source MySQL injection and takeover tool, written in perl. Via a command line interface, you can retrieve the database(s) structure, inject your own SQL queries (even complex ones), download files from the web server, crawl	https://www.kali.org/tools/sqlsus/
ssdeep	ssdeep	forensics	数字取证	libfuzzy-dev,libfuzzy2,ssdeep,ssdeep	Recursive piecewise hashing tool ssdeep is a tool for recursive computing and matching of Context Triggered Piecewise Hashing (aka Fuzzy Hashing). Fuzzy hashing is a method for comparing similar but not identical files. This tool can be used to compare files like regular hashing does (like md5sum or sha1sum) but it will find similar files with little differences.	https://www.kali.org/tools/ssdeep/
sshuttle	sshuttle	utils	命令与控制	sshuttle,sshuttle	Transparent proxy server for VPN over SSH Sshuttle makes it possible to access remote networks using SSH. It creates a transparent proxy server, using iptables, that will forward all the traffic through an SSH tunnel to a remote copy of sshuttle. It does not require installation on the remote server, which just needs to have Python installed.	https://www.kali.org/tools/sshuttle/
ssldump	ssldump	information-gathering	收集	ssldump,ssldump	SSLv3/TLS network protocol analyzer This program will dump the traffic on a network and analyze it for SSLv3/TLS network traffic, typically used to secure TCP connections. When it identifies this traffic, it decodes the results. When provided with the appropriate keying material, it will also decrypt the connections and display the application data traffic.	https://www.kali.org/tools/ssldump/
sslh	sslh	information-gathering	命令与控制	sslh,sslh,sslh-ev,sslh-select	Applicative protocol multiplexer sslh lets one accept HTTPS, SSH, OpenVPN, tinc and XMPP connections on the same port. This makes it possible to connect to any of these servers on port 443 (e.g. from inside a corporate firewall, which almost never block port 443) while still serving HTTPS on that port.	https://www.kali.org/tools/sslh/
sslscan	sslscan	information-gathering	发现	sslscan,sslscan	Tests SSL/TLS enabled services to discover supported cipher suites This tool allow queries SSL/TLS services (such as HTTPS) and reports the protocol versions, cipher suites, key exchanges, signature algorithms, and certificates in use. This helps the user understand which parameters are weak from a security standpoint. sslscan can also output results into an XML file for easy consumption by	https://www.kali.org/tools/sslscan/
sslsniff	sslsniff	web	收集	sslsniff,sslsniff	SSL/TLS man-in-the-middle attack tool sslsniff is designed to create man-in-the-middle (MITM) attacks for SSL/TLS connections, and dynamically generates certs for the domains that are being accessed on the fly. The new certificates are constructed in a certificate chain that is signed by any certificate that is provided.	https://www.kali.org/tools/sslsniff/
sslsplit	sslsplit	web	收集	sslsplit,sslsplit	Transparent and scalable SSL/TLS interception SSLsplit is a tool for man-in-the-middle attacks against SSL/TLS encrypted network connections. Connections are transparently intercepted through a network address translation engine and redirected to SSLsplit. SSLsplit terminates SSL/TLS and initiates a new SSL/TLS connection to the original destination address, while	https://www.kali.org/tools/sslsplit/
sslstrip	sslstrip	utils		sslstrip,sslstrip	SSL/TLS man-in-the-middle attack tool sslstrip is a tool that transparently hijacks HTTP traffic on a network, watch for HTTPS links and redirects, and then map those links into look-alike HTTP links or homograph-similar HTTPS links. It also supports modes for supplying a favicon which looks like a lock icon, selective logging, and session denial.	https://www.kali.org/tools/sslstrip/
sslyze	sslyze	information-gathering	发现	sslyze,sslyze	Fast and full-featured SSL scanner SSLyze is a Python tool that can analyze the SSL configuration of a server by connecting to it. It is designed to be fast and comprehensive, and should help organizations and testers identify misconfigurations affecting their SSL servers.	https://www.kali.org/tools/sslyze/
sstimap	sstimap	utils	侦察	sstimap,sstimap	Automatic SSTI detection tool with interactive interface SSTImap is a penetration testing software that can check websites for Code Injection and Server-Side Template Injection vulnerabilities and exploit them, giving access to the operating system itself.	https://www.kali.org/tools/sstimap/
starkiller	starkiller	utils		starkiller	Frontend for Powershell Empire This package contains a Frontend for Powershell Empire.	https://www.kali.org/tools/starkiller/
statsprocessor	statsprocessor	passwords		statsprocessor,sp32,sp64	Word generator based on per-position Markov chains Statsprocessor is a word generator based on per-position Markov chains packed into a single stand-alone binary. It generates candidate words based on a Hashcat format .hcstat file by using this information to determine which letter is following which letter based on the analysis of the original input dictionary used to generate the .hcstat. The resulting words can then, for	https://www.kali.org/tools/statsprocessor/
stegcracker	stegcracker	utils		stegcracker,stegcracker	Steganography brute-force tool StegCracker is steganography brute-force utility to uncover hidden data inside files.	https://www.kali.org/tools/stegcracker/
steghide	steghide	crypto-stego	防御规避	steghide,steghide,steghide-doc	Steganography hiding tool Steghide is steganography program which hides bits of a data file in some of the least significant bits of another file in such a way that the existence of the data file is not visible and cannot be proven. Steghide is designed to be portable and configurable and features hiding data in bmp, jpeg, wav and au files, blowfish encryption, MD5 hashing of	https://www.kali.org/tools/steghide/
stegosuite	stegosuite	crypto-stego	防御规避	stegosuite,stegosuite	Steganography tool to hide information in image files Stegosuite is a graphical steganography tool to easily hide information in image files. It allows the embedding of text messages and multiple files of any type. In addition, the embedded data is encrypted using AES. Currently supported file types are BMP, GIF, JPG and PNG. Stegosuite is written in Java and utilizes the SWT toolkit for its interface.	https://www.kali.org/tools/stegosuite/
stegsnow	stegsnow	crypto-stego	防御规避	stegsnow,stegsnow	Steganography using ASCII files This utility can conceal messages in ASCII text by appending whitespaces to the end of lines. Because spaces and tabs are generally not visible in text viewers, the message is effectively hidden from casual observers. And if the built-in encryption is used, the message cannot be read even if it is detected. About the name: locating trailing whitespace in text is like finding a polar	https://www.kali.org/tools/stegsnow/
stunnel	stunnel	web		stunnel,stunnel,stunnel3,stunnel4,stunnel4	Universal SSL tunnel for network daemons The stunnel program is designed to work as SSL encryption wrapper between remote client and local (inetd-startable) or remote server. The concept is that having non-SSL aware daemons running on your system you can easily setup them to communicate with clients over secure SSL channel.	https://www.kali.org/tools/stunnel/
subfinder	subfinder	utils	侦察	subfinder,subfinder	Subdomain discovery tool This package contains a subdomain discovery tool that discovers valid subdomains for websites by using passive online sources. It has a simple modular architecture and is optimized for speed. subfinder is built for doing one thing only - passive subdomain enumeration, and it does that very well.	https://www.kali.org/tools/subfinder/
subjack	subjack	utils	侦察	subjack,subjack	Subdomain Takeover tool This package contains a Subdomain Takeover tool written in Go designed to scan a list of subdomains concurrently and identify ones that are able to be hijacked. With Go’s speed and efficiency, this tool really stands out when it comes to mass-testing. Always double check the results manually to rule out false positives.	https://www.kali.org/tools/subjack/
sublist3r	sublist3r	utils	侦察	sublist3r,sublist3r	Fast subdomains enumeration tool for penetration testers This package contains a Python security tool designed to enumerate subdomains of websites using OSINT. It helps penetration testers and bug hunters collect and gather subdomains for the domain they are targeting over the network. Sublist3r enumerates subdomains using many search engines such as Google, Yahoo, Bing, Baidu, and Ask. Sublist3r also enumerates subdomains using	https://www.kali.org/tools/sublist3r/
subversion	subversion	information-gathering		libapache2-mod-svn,libsvn-dev,libsvn-doc,libsvn-java,libsvn-perl,libsvn1,python3-subversion,ruby-svn,subversion,svn,svnadmin,svnauthz,svnauthz-validate,svnbench,svndumpfilter,svnfsfs,svnlook,svnmucc,svnrdump,svnserve,svnsync,svnversion,subversion-tools,fsfs-access-map,fsfs-stats,svn-backup-dumps,svn-bisect,svn-clean,svn-hot-backup,svn-mergeinfo-normalizer,svn-populate-node-origins-index,svn-vendor,svn_apply_autoprops,svn_load_dirs,svnraisetreeconflict,svnwrap	Advanced version control system Apache Subversion, also known as svn, is a centralised version control system. Version control systems allow many individuals (who may be distributed geographically) to collaborate on a set of files (source code, websites, etc). Subversion began with a CVS paradigm and supports all the major features of CVS, but has evolved to support	https://www.kali.org/tools/subversion/
sucrack	sucrack	passwords	凭据访问	sucrack,sucrack	Multithreaded su bruteforcer sucrack is a multithreaded Linux/UNIX tool for cracking local user accounts via wordlist bruteforcing su. This tool comes in handy when you’ve gained access to a low-privilege user account but are allowed to su to other users. Many su implementations require a pseudo terminal to be attached in order to take the	https://www.kali.org/tools/sucrack/
sudo	sudo	information-gathering		libnss-sudo,sudo,cvtsudoers,sudo,sudo_logsrvd,sudo_sendlog,sudoedit,sudoreplay,visudo,sudo-ldap	Provide limited super user privileges to specific users Sudo is a program designed to allow a sysadmin to give limited root privileges to users and log root activity. The basic philosophy is to give as few privileges as possible but still allow people to get their work done.	https://www.kali.org/tools/sudo/
swaks	swaks	information-gathering	发现	swaks,swaks	SMTP command-line test tool swaks (Swiss Army Knife SMTP) is a command-line tool written in Perl for testing SMTP setups; it supports STARTTLS and SMTP AUTH (PLAIN, LOGIN, CRAM-MD5, SPA, and DIGEST-MD5). swaks allows one to stop the SMTP dialog at any stage, e.g to check RCPT TO: without actually sending a mail.	https://www.kali.org/tools/swaks/
syft	syft	utils		syft,syft	CLI tool for generating a SBOM from container images and filesystems This package contains a CLI tool and Go library for generating a Software Bill of Materials (SBOM) from container images and filesystems. Exceptional for vulnerability detection when used with a scanner like Grype. Generates SBOMs for container images, filesystems, archives, and more to discover packages and libraries	https://www.kali.org/tools/syft/
t50	t50	vulnerability	影响	t50,t50	Multi-protocol packet injector tool Multi-protocol packet injector tool for *nix systems, actually supporting 15 protocols. Features: Flooding CIDR support	https://www.kali.org/tools/t50/
tailscale	tailscale	utils	服务与其它工具	tailscale,tailscale,tailscaled	Secure connectivity platform This package contains the tailscaled daemon and the tailscale CLI tool. The tailscaled daemon runs on Linux.	https://www.kali.org/tools/tailscale/
tcpdump	tcpdump	information-gathering	发现	tcpdump,tcpdump	Command-line network traffic analyzer This program allows you to dump the traffic on a network. tcpdump is able to examine IPv4, ICMPv4, IPv6, ICMPv6, UDP, TCP, SNMP, AFS BGP, RIP, PIM, DVMRP, IGMP, SMB, OSPF, NFS and many other packet types. It can be used to print out the headers of packets on a network	https://www.kali.org/tools/tcpdump/
tcpflow	tcpflow	sniffing-spoofing	发现	tcpflow,tcpflow,tcpflow,tcpflow-nox,tcpflow	TCP flow recorder tcpflow is a program that captures data transmitted as part of TCP connections (flows), and stores the data in a way that is convenient for protocol analysis or debugging. A program like ’tcpdump’ shows a summary of packets seen on the wire, but usually doesn’t store the data that’s actually being transmitted. In contrast, tcpflow	https://www.kali.org/tools/tcpflow/
tcpick	tcpick	forensics		tcpick,tcpick	TCP stream sniffer and connection tracker This libpcap-based textmode sniffer can: track, reassemble and reorder TCP streams save the captured flows in different files or display them in the terminal display all the stream on the terminal with different display modes like hexdump, hexdump + ascii, only printable characters, raw mode, colorized	https://www.kali.org/tools/tcpick/
tcpreplay	tcpreplay	sniffing-spoofing	发现	tcpreplay,tcpbridge,tcpcapinfo,tcpliveplay,tcpprep,tcpreplay,tcpreplay-edit,tcprewrite	Tool to replay saved tcpdump files at arbitrary speeds Tcpreplay is aimed at testing the performance of a NIDS by replaying real background network traffic in which to hide attacks. Tcpreplay allows you to control the speed at which the traffic is replayed, and can replay arbitrary tcpdump traces. Unlike programmatically-generated artificial traffic which doesn’t	https://www.kali.org/tools/tcpreplay/
teamsploit	teamsploit	utils		teamsploit,teamsploit	Tools for group based penetration testing TeamSploit makes group-based penetration testing fun and easy, providing real-time collaboration and automation. TeamSploit is a suite of tools for the Metasploit Framework. TeamSploit should work with any MSF product (including OpenSource, Express, or Pro). Features include:	https://www.kali.org/tools/teamsploit/
termineter	termineter	exploitation	命令与控制	termineter,termineter	Smart meter testing framework This package contains a Python framework which provides a platform for the security testing of smart meters. It implements the C1218 and C1219 protocols for communication over an optical interface. Currently supported are Meters using C1219-2007 with 7-bit character sets. This is the most common configuration found in North America. Termineter communicates with Smart	https://www.kali.org/tools/termineter/
terraform	terraform	utils		terraform,terraform	Tool for building, changing, and versioning infrastructure This package contains a tool for building, changing, and versioning infrastructure safely and efficiently. Terraform can manage existing and popular service providers as well as custom in-house solutions. Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative	https://www.kali.org/tools/terraform/
testdisk	testdisk	utils	数字取证	photorec,fidentify,photorec,qphotorec,qphotorec,testdisk,testdisk	Partition scanner and disk recovery tool TestDisk checks the partition and boot sectors of your disks. It is very useful in forensics, recovering lost partitions. It works with : DOS/Windows FAT12, FAT16 and FAT32 NTFS ( Windows NT/2K/XP )	https://www.kali.org/tools/testdisk/
testssl.sh	testssl.sh	utils		testssl.sh,testssl	Command line tool to check TLS/SSL ciphers, protocols and cryptographic flaws testssl.sh is a free command line tool which checks a server’s service on any port for the support of TLS/SSL ciphers, protocols as well as recent cryptographic flaws and more. Key features Clear output: you can tell easily whether anything is good or bad	https://www.kali.org/tools/testssl.sh/
tetragon	tetragon	utils		tetragon,tetra	EBPF-based Security Observability and Runtime Enforcement (tetra CLI) Cilium’s new Tetragon component enables powerful realtime, eBPF-based Security Observability and Runtime Enforcement. Tetragon detects and is able to react to security-significant events, such as: - Process execution events - System call activity	https://www.kali.org/tools/tetragon/
tftp-hpa	tftp-hpa	utils		tftp-hpa,tftp,tftpd-hpa,in.tftpd	HPA’s tftp client Trivial File Transfer Protocol (TFTP) is a file transfer protocol, mainly to serve boot images over the network to other machines (PXE). tftp-hpa is an enhanced version of the BSD TFTP client and server. It possesses a number of bugfixes and enhancements over the original. This package contains the client.	https://www.kali.org/tools/tftp-hpa/
tftpd32	tftpd32	windows-resources		tftpd32,tftpd32	Open source ipv6-ready TFTP server for Windows Tftpd32 is a free, opensource IPv6 ready application which includes DHCP, TFTP, DNS, SNTP and Syslog servers as well as a TFTP client. The TFTP client and server are fully compatible with TFTP option support (tsize, blocksize and timeout), which allow the maximum performance when transferring the data.	https://www.kali.org/tools/tftpd32/
thc-ipv6	thc-ipv6	information-gathering	发现	thc-ipv6,atk6-address6,atk6-alive6,atk6-connect6,atk6-connsplit6,atk6-covert_send6,atk6-covert_send6d,atk6-denial6,atk6-detect-new-ip6,atk6-detect_sniffer6,atk6-dnsdict6,atk6-dnsrevenum6,atk6-dnssecwalk,atk6-dos-new-ip6,atk6-dump_dhcp6,atk6-dump_router6,atk6-exploit6,atk6-extract_hosts6,atk6-extract_networks6,atk6-fake_advertise6,atk6-fake_dhcps6,atk6-fake_dns6d,atk6-fake_dnsupdate6,atk6-fake_mipv6,atk6-fake_mld26,atk6-fake_mld6,atk6-fake_mldrouter6,atk6-fake_pim6,atk6-fake_router26,atk6-fake_router6,atk6-fake_solicitate6,atk6-firewall6,atk6-flood_advertise6,atk6-flood_dhcpc6,atk6-flood_mld26,atk6-flood_mld6,atk6-flood_mldrouter6,atk6-flood_redir6,atk6-flood_router26,atk6-flood_router6,atk6-flood_rs6,atk6-flood_solicitate6,atk6-flood_unreach6,atk6-four2six,atk6-fragmentation6,atk6-fragrouter6,atk6-fuzz_dhcpc6,atk6-fuzz_dhcps6,atk6-fuzz_ip6,atk6-implementation6,atk6-implementation6d,atk6-inject_alive6,atk6-inverse_lookup6,atk6-kill_router6,atk6-ndpexhaust26,atk6-ndpexhaust6,atk6-node_query6,atk6-parasite6,atk6-passive_discovery6,atk6-randicmp6,atk6-redir6,atk6-redirsniff6,atk6-rsmurf6,atk6-sendpees6,atk6-sendpeesmp6,atk6-smurf6,atk6-thcping6,atk6-thcsyn6,atk6-toobig6,atk6-toobigsniff6,atk6-trace6	The Hacker Choice’s IPv6 Attack Toolkit Attack toolkit for testing IPv6 and ICMPv6 protocol weaknesses. Some of the tools included: alive6: an effective alive scanning. denial6: try a collection of denial-of-service tests against a target.	https://www.kali.org/tools/thc-ipv6/
thc-pptp-bruter	thc-pptp-bruter	passwords	凭据访问	thc-pptp-bruter,thc-pptp-bruter	THC PPTP Brute Force Brute force program against pptp vpn endpoints (tcp port 1723). Fully standalone. Supports latest MSChapV2 authentication. Tested against Windows and Cisco gateways. Exploits a weakness in Microsoft’s anti-brute force implementation which makes it possible to try 300 passwords the second.	https://www.kali.org/tools/thc-pptp-bruter/
thc-ssl-dos	thc-ssl-dos	vulnerability	影响	thc-ssl-dos,thc-ssl-dos	Stress tester for the SSL handshake THC-SSL-DOS is a tool to verify the performance of SSL. Establishing a secure SSL connection requires 15x more processing power on the server than on the client. THC-SSL-DOS exploits this asymmetric property by overloading the server and knocking it off the Internet.	https://www.kali.org/tools/thc-ssl-dos/
theharvester	theharvester	information-gathering	侦察	theharvester	Tool for gathering e-mail accounts and subdomain names from public sources The package contains a tool for gathering subdomain names, e-mail addresses, virtual hosts, open ports/ banners, and employee names from different public sources (search engines, pgp key servers).	https://www.kali.org/tools/theharvester/
tiger	tiger	identify		tiger,tiger,tigercron,tigexp,tiger-otheros	Security auditing and intrusion detection tools for Linux TIGER, or the ’tiger’ scripts, is a set of tools (Bourne shell scripts and C programs) which are used to perform a security audit of different operating systems components. The tools can be both run all at once to generate an audit report of the system and to detect elements that could be fixed when hardening it.	https://www.kali.org/tools/tiger/
tightvnc	tightvnc	utils		tightvncpasswd,tightvncpasswd,tightvncserver	Virtual network computing password tool VNC stands for Virtual Network Computing. It is, in essence, a remote display system which allows you to view a computing `desktop’ environment not only on the machine where it is running, but from anywhere on the Internet and from a wide variety of machine architectures. This package provides the vncpasswd tool mandatory for the tightvncserver	https://www.kali.org/tools/tightvnc/
tinja	tinja	utils	侦察	tinja,tinja	CLI tool for testing web pages for template injection TInjA is a CLI tool for testing web pages for template injection vulnerabilities and supports 44 of the most relevant template engines for eight different programming languages.	https://www.kali.org/tools/tinja/
tlssled	tlssled	information-gathering	发现	tlssled,tlssled	Evaluates the security of a target SSL/TLS (HTTPS) server TLSSLed is a Linux shell script whose purpose is to evaluate the security of a target SSL/TLS (HTTPS) web server implementation. It is based on sslscan, a thorough SSL/TLS scanner that is based on the openssl library, and on the “openssl s_client” command line tool. The current tests	https://www.kali.org/tools/tlssled/
tmux	tmux	wireless		tmux,tmux	Terminal multiplexer tmux enables a number of terminals (or windows) to be accessed and controlled from a single terminal like screen. tmux runs as a server-client system. A server is created automatically when necessary and holds a number of sessions, each of which may have a number of windows linked to it. Any number of clients may connect to a session,	https://www.kali.org/tools/tmux/
tnftp	tnftp	utils		ftp,tnftp,tnftp	tnftp Enhanced ftp client tnftp is what many users affectionately call the enhanced ftp client in NetBSD ( http://www.netbsd.org ).	https://www.kali.org/tools/tnftp/
tnscmd10g	tnscmd10g	web	发现	tnscmd10g,tnscmd10g	Tool to prod the oracle tnslsnr process A tool to prod the oracle tnslsnr process on port 1521/tcp.	https://www.kali.org/tools/tnscmd10g/
tookie-osint	tookie-osint	utils	侦察	tookie-osint,tookie-osint	OSINT information gathering tool for finding social media accounts Tookie-osint has a simple-to-use UI and is really straightforward. The main idea of Tookie-osint is to discover usernames that are requested from an input. Tookie-osint is similar to the tool called Sherlock. It discovers all the user accounts across different websites and Tookie-osint is successful at this task almost 80% of the time.	https://www.kali.org/tools/tookie-osint/
