slug	name	package_group	attack_category	packages	description	url
ptunnel	ptunnel	post-exploitation	命令与控制	ptunnel,ptunnel	Tunnel TCP connections over ICMP packets ptunnel is an application that allows you to reliably tunnel TCP connections to a remote host using ICMP echo request and reply packets, commonly known as ping requests and replies. It acts as a proxy and can handle sockets and secured identification. Those features can be very handy when working in a closed networking	https://www.kali.org/tools/ptunnel/
pwnat	pwnat	post-exploitation	命令与控制	pwnat,pwnat	NAT to NAT client-server communication pwnat, pronounced “poe-nat”, is a tool that allows any number of clients behind NATs to communicate with a server behind a separate NAT with no port forwarding	https://www.kali.org/tools/pwnat/
pwncat	pwncat	utils		pwncat,pwncat	Netcat on steroids This package contains Netcat on steroids with Firewall, IDS/IPS evasion, bind and reverse shell, self-injecting shell and port forwarding magic - and its fully scriptable with Python (PSE).	https://www.kali.org/tools/pwncat/
pyinstaller	pyinstaller	utils	资源开发	pyinstaller,pyi-archive_viewer,pyi-bindepend,pyi-grab_version,pyi-makespec,pyi-set_version,pyinstaller,python3-pyinstaller	Utility to bundle a Python application into a single package PyInstaller reads a Python script written by you. It analyzes your code to discover every other module and library your script needs in order to execute. Then it collects copies of all those files and puts them with your script in a single folder, or optionally in a single executable file. This package contains the executables. It depends on ‘python3-pyinstaller’,	https://www.kali.org/tools/pyinstaller/
pyinstxtractor	pyinstxtractor	utils		pyinstxtractor,pyinstxtractor	PyInstalller Extractor PyInstaller Extractor is a Python script to extract the contents of a PyInstaller generated executable file.	https://www.kali.org/tools/pyinstxtractor/
python-defaults	python-defaults	utils		libpython-all-dbg,libpython-all-dev,libpython2-dbg,x86_64-linux-gnu-python2-dbg-config,libpython2-dev,x86_64-linux-gnu-python2-config,libpython2-stdlib,python-all,python-all-dbg,python-all-dev,python2,pdb2,pydoc2,pygettext2,python2-dbg,python2-dbg,python2-dbg-config,python2-dev,python2-config,python2-doc,python2-minimal,pyclean,pycompile,python2,pyversions	Package depending on all supported Python2 debugging packages The package currently depends on libpython2.7-dbg, in the future, dependencies on jython (Python2 for a JVM) and ironpython (Python2 for Mono) may be added. This package is a dependency package used as a build dependency for other packages to avoid hardcoded dependencies on specific Python2 debug packages.	https://www.kali.org/tools/python-defaults/
python-faraday	python-faraday	reporting	服务与其它工具	faraday,faraday,faraday-manage,faraday-server,faraday-start,faraday-stop,faraday-worker,faraday-worker-gevent,python-faraday,python-faraday	root@kali:~# python-faraday -h ┏━(Message from Kali developers) ┃ ┃ Please wait for the faraday service to start ┃ ..........	https://www.kali.org/tools/python-faraday/
python-ldapdomaindump	python-ldapdomaindump	information-gathering		python3-ldapdomaindump,ldapdomaindump,ldd2bloodhound,ldd2pretty	Active Directory information dumper via LDAP (Python 3) This package contains an Active Directory information dumper via LDAP. In an Active Directory domain, a lot of interesting information can be retrieved via LDAP by any authenticated user (or machine). This makes LDAP an interesting protocol for gathering information in the recon phase of a pentest of an internal network. A problem is that data from LDAP often is not available in	https://www.kali.org/tools/python-ldapdomaindump/
python-pip	python-pip	forensics		python3-pip,pip,pip3,python3-pip-whl	Python package installer pip is the Python package installer. It integrates with virtualenv, doesn’t do partial installs, can save package state for replaying, can install from non-egg sources, and can install from version control repositories. This is the Python 3 version of the package.	https://www.kali.org/tools/python-pip/
python-pipx	python-pipx	utils		pipx,pipx	Execute binaries from Python packages in isolated environments pipx allows you to… Run the latest version of a CLI application from a package in a temporary virtual environment, leaving your system untouched after it finishes. Install packages to isolated virtual environments,	https://www.kali.org/tools/python-pipx/
python-virtualenv	python-virtualenv	utils		python3-virtualenv,virtualenv,virtualenv	Python virtual environment creator virtualenv is a tool to create isolated Python environments, each invokable with its own Python executable. Each instance can have different sets of modules, installable via pip. Virtual Python instances can also be created without root access. Since Python 3.3, a subset of it has been integrated into the standard library	https://www.kali.org/tools/python-virtualenv/
qemu	qemu	hardware		qemu-block-extra,qemu-guest-agent,qemu-ga,qemu-system,qemu-system-arm,qemu-system-aarch64,qemu-system-arm,qemu-system-arm64,qemu-system-armel,qemu-system-armhf,qemu-system-common,qemu-pr-helper,qemu-vmsr-helper,qemu-system-data,qemu-system-gui,qemu-system-mips,qemu-system-mips,qemu-system-mips64,qemu-system-mips64el,qemu-system-mipsel,qemu-system-misc,qemu-system-alpha,qemu-system-avr,qemu-system-hexagon,qemu-system-hppa,qemu-system-loong64,qemu-system-loongarch64,qemu-system-m68k,qemu-system-microblaze,qemu-system-or1k,qemu-system-rx,qemu-system-sh4,qemu-system-sh4eb,qemu-system-tricore,qemu-system-xtensa,qemu-system-xtensaeb,qemu-system-modules-opengl,qemu-system-modules-spice,qemu-system-ppc,qemu-system-powerpc,qemu-system-ppc,qemu-system-ppc64,qemu-system-ppc64el,qemu-system-ppc64le,qemu-system-riscv,qemu-system-riscv32,qemu-system-riscv64,qemu-system-s390x,qemu-system-s390x,qemu-system-sparc,qemu-system-sparc,qemu-system-sparc64,qemu-system-x86,kvm,qemu-system-amd64,qemu-system-i386,qemu-system-x86_64,qemu-system-x86_64-microvm,qemu-system-xen,qemu-user,qemu-aarch64,qemu-aarch64_be,qemu-alpha,qemu-amd64,qemu-arm,qemu-arm64,qemu-armeb,qemu-armel,qemu-armhf,qemu-hexagon,qemu-hppa,qemu-i386,qemu-loong64,qemu-loongarch64,qemu-m68k,qemu-microblaze,qemu-microblazeel,qemu-mips,qemu-mips64,qemu-mips64el,qemu-mipsel,qemu-mipsn32,qemu-mipsn32el,qemu-or1k,qemu-powerpc,qemu-ppc,qemu-ppc64,qemu-ppc64el,qemu-ppc64le,qemu-riscv32,qemu-riscv64,qemu-s390x,qemu-sh4,qemu-sh4eb,qemu-sparc,qemu-sparc32plus,qemu-sparc64,qemu-x86_64,qemu-xtensa,qemu-xtensaeb,qemu-user-binfmt,qemu-utils,qemu-img,qemu-io,qemu-nbd,qemu-storage-daemon	Extra block backend modules for qemu-system and qemu-utils QEMU is a fast processor emulator: currently the package supports Alpha, ARM, CRIS, i386, LoongArch, M68k (ColdFire), MicroBlaze, MIPS, PowerPC, RISC-V, S390x, SH4, SPARC, x86-64, Xtensa and other emulations. By using dynamic translation it achieves reasonable speed while being easy to port on new host CPUs.	https://www.kali.org/tools/qemu/
